Scan,Time,5001 <LOAD> (VDC),5021 <DISP> (VDC),1-1p (6001),1-3p (6002),2-4p (6003),3-1p (6004),3-5p (6005),4-2p (6006),4-6p (6007),5-3p (6008),5-7p (6009),6-4p (6010),6-8p (6011),7-5p (6012),7-9p (6013),8-6p (6014),8-10p (6015),9-7p (6016),9-11p (6017),10-8p (6018),10-12p (6019),11-9p (6020),11-13p (6021),12-10p (6022),12-14p (6023),13-11p (6024),13-15p (6025),14-12p (6026),14-16p (6027),15-13p (6028),15-17p (6029),16-14p (6030),16-18p (6031),17-15p (6032),17-19p (6033),18-16p (6034),18-20p (6035),19-17p (6036),19-21p (6037),20-18p (6038),21-19p (6039),21-21p (6040)
0,2025-07-03 16:30:24.228196+00:00,0.1,0.1,54.0,23.0,45.0,80.0,65.0,40.0,70.0,42.0,48.0,63.0,97.0,64.0,61.0,21.0,76.0,35.0,83.0,95.0,61.0,72.0,13.0,22.0,54.0,27.0,25.0,47.0,56.0,4.0,81.0,74.0,35.0,94.0,55.0,89.0,51.0,42.0,69.0,72.0,26.0,41.0
1,2025-07-03 16:30:24.328180+00:00,0.1,0.1,20.0,79.0,5.0,97.0,54.0,96.0,37.0,7.0,35.0,88.0,30.0,26.0,55.0,60.0,20.0,84.0,74.0,10.0,3.0,53.0,84.0,60.0,44.0,17.0,60.0,73.0,73.0,53.0,49.0,55.0,81.0,82.0,67.0,0.0,10.0,97.0,48.0,48.0,67.0,97.0
2,2025-07-03 16:30:24.428634+00:00,0.1,0.1,67.0,3.0,64.0,39.0,81.0,43.0,75.0,47.0,9.0,100.0,64.0,77.0,73.0,93.0,70.0,50.0,30.0,47.0,19.0,11.0,71.0,11.0,42.0,25.0,78.0,82.0,66.0,8.0,21.0,28.0,99.0,70.0,14.0,33.0,97.0,46.0,8.0,60.0,64.0,40.0
3,2025-07-03 16:30:24.528558+00:00,0.1,0.1,63.0,84.0,15.0,94.0,57.0,9.0,2.0,39.0,1.0,27.0,10.0,86.0,37.0,49.0,15.0,6.0,49.0,7.0,56.0,16.0,45.0,19.0,21.0,37.0,30.0,19.0,15.0,59.0,68.0,31.0,55.0,13.0,20.0,41.0,23.0,25.0,67.0,42.0,66.0,26.0
4,2025-07-03 16:30:24.628829+00:00,0.1,0.1,35.0,32.0,59.0,35.0,11.0,28.0,91.0,71.0,81.0,26.0,2.0,43.0,69.0,17.0,47.0,53.0,46.0,82.0,18.0,80.0,71.0,96.0,88.0,77.0,3.0,38.0,30.0,45.0,27.0,39.0,100.0,36.0,66.0,74.0,53.0,65.0,0.0,31.0,81.0,82.0
5,2025-07-03 16:30:24.781686+00:00,0.1,0.1,68.0,72.0,84.0,65.0,36.0,10.0,13.0,39.0,97.0,77.0,42.0,24.0,40.0,8.0,44.0,28.0,91.0,17.0,32.0,79.0,36.0,19.0,68.0,53.0,69.0,55.0,41.0,83.0,57.0,5.0,24.0,57.0,28.0,63.0,100.0,24.0,98.0,21.0,100.0,89.0
6,2025-07-03 16:30:24.830235+00:00,0.1,0.1,83.0,55.0,1.0,64.0,82.0,52.0,51.0,13.0,36.0,53.0,49.0,28.0,22.0,71.0,11.0,7.0,47.0,36.0,17.0,18.0,5.0,15.0,23.0,52.0,64.0,22.0,98.0,63.0,96.0,84.0,88.0,60.0,34.0,97.0,62.0,48.0,61.0,71.0,92.0,14.0
7,2025-07-03 16:30:24.969759+00:00,0.1,0.1,19.0,42.0,76.0,39.0,98.0,13.0,92.0,43.0,16.0,77.0,50.0,29.0,50.0,51.0,76.0,64.0,53.0,39.0,98.0,56.0,62.0,82.0,91.0,21.0,36.0,79.0,13.0,7.0,19.0,95.0,79.0,33.0,43.0,77.0,1.0,40.0,28.0,32.0,83.0,81.0
8,2025-07-03 16:30:25.031395+00:00,0.1,0.1,55.0,28.0,95.0,1.0,45.0,71.0,12.0,59.0,20.0,51.0,49.0,12.0,76.0,70.0,45.0,12.0,78.0,9.0,33.0,9.0,77.0,80.0,18.0,94.0,7.0,45.0,84.0,12.0,4.0,32.0,46.0,59.0,11.0,50.0,45.0,87.0,100.0,70.0,24.0,33.0
9,2025-07-03 16:30:25.132632+00:00,0.1,0.1,11.0,14.0,95.0,9.0,80.0,97.0,17.0,90.0,4.0,82.0,16.0,77.0,99.0,61.0,14.0,100.0,82.0,20.0,74.0,83.0,20.0,38.0,80.0,29.0,29.0,20.0,98.0,74.0,19.0,51.0,29.0,92.0,43.0,95.0,54.0,83.0,93.0,59.0,40.0,52.0
